Reading thesis/data/mnist1/binary_codings_1.fccsv
No of Objects: 500
No of attributes: 64
No of concepts: 2081

-----------------------------------------------------------------------------------------------------------------------
  Train/  Object     Extent                                 Probabilities  Predicted     Actual
   Test                Size              [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]      Class      Class
   train  o8_107       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [8]
    test  o8_229       {66} [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [8]
   train  o8_349       {72} [[0.04, 0.02, 0.06, 0.02, 0.15, 0.11, 0.08, 0.13, 0.23, 0.11]]      [[8]]        [8] _/
   train   o9_28       {66} [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [9]
   train  o0_277       {60} [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [0]
   train   o8_58       {74} [[0.04, 0.02, 0.02, 0.02, 0.17, 0.18, 0.10, 0.10, 0.18, 0.10]]      [[8]]        [8] _/
   train  o0_399       {69} [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [0] _/
   train  o0_271       {71} [[0.18, 0.00, 0.09, 0.14, 0.04, 0.09, 0.08, 0.19, 0.02, 0.12]]      [[7]]        [0]
    test  o0_393       {63} [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [0]
    test  o9_269       {76} [[0.06, 0.03, 0.03, 0.17, 0.06, 0.17, 0.02, 0.05, 0.22, 0.14]]      [[8]]        [9]
   train  o9_148       {80} [[0.18, 0.17, 0.03, 0.13, 0.05, 0.06, 0.02, 0.18, 0.07, 0.06]]      [[7]]        [9]
   train  o7_419       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [7]
   train  o1_165       {76} [[0.03, 0.21, 0.05, 0.18, 0.19, 0.09, 0.00, 0.03, 0.11, 0.06]]      [[1]]        [1] _/
   train  o1_286       {70} [[0.04, 0.02, 0.14, 0.05, 0.17, 0.15, 0.10, 0.10, 0.11, 0.08]]      [[4]]        [1]
   train  o9_382       {66} [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [9]
   train   o7_77       {71} [[0.18, 0.00, 0.09, 0.14, 0.04, 0.09, 0.08, 0.19, 0.02, 0.12]]      [[7]]        [7] _/
   train  o7_314       {60} [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [7]
   train   o8_41       {63} [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [8] _/
   train  o9_266       {63} [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [9]
   train  o1_170       {80} [[0.05, 0.12, 0.07, 0.08, 0.18, 0.12, 0.10, 0.08, 0.08, 0.07]]      [[4]]        [1]
    test  o1_171       {72} [[0.04, 0.02, 0.06, 0.02, 0.15, 0.11, 0.08, 0.13, 0.23, 0.11]]      [[8]]        [1]
   train  o1_292       {77} [[0.23, 0.20, 0.06, 0.07, 0.05, 0.03, 0.14, 0.11, 0.02, 0.03]]      [[0]]        [1]
   train  o1_172       {70} [[0.04, 0.02, 0.14, 0.05, 0.17, 0.15, 0.10, 0.10, 0.11, 0.08]]      [[4]]        [1]
    test  o8_218       {72} [[0.04, 0.02, 0.06, 0.02, 0.15, 0.11, 0.08, 0.13, 0.23, 0.11]]      [[8]]        [8] _/
   train    o9_4       {63} [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [9]
   train   o9_16       {63} [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [9]
    test  o0_387       {63} [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [0]
   train    o9_1       {63} [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [9]
   train  o8_342       {80} [[0.05, 0.12, 0.07, 0.08, 0.18, 0.12, 0.10, 0.08, 0.08, 0.07]]      [[4]]        [8]
   train  o8_463       {63} [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [8] _/
   train  o8_462       {66} [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [8]
   train  o8_460       {76} [[0.06, 0.03, 0.03, 0.17, 0.06, 0.17, 0.02, 0.05, 0.22, 0.14]]      [[8]]        [8] _/
   train  o0_140       {69} [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [0] _/
    test  o8_102       {65} [[0.07, 0.06, 0.07, 0.13, 0.16, 0.09, 0.13, 0.04, 0.16, 0.03]]      [[8]]        [8] _/
   train  o1_296       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [1]
    test  o1_176       {66} [[0.10, 0.09, 0.12, 0.06, 0.16, 0.09, 0.21, 0.12, 0.00, 0.03]]      [[6]]        [1]
   train  o1_177       {78} [[0.23, 0.08, 0.12, 0.10, 0.01, 0.10, 0.10, 0.11, 0.10, 0.01]]      [[0]]        [1]
   train  o7_426       {66} [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [7] _/
   train  o7_427       {66} [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [7] _/
    test  o7_164       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [7]
   train   o9_40       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [9]
   train  o0_175       {71} [[0.14, 0.07, 0.04, 0.16, 0.11, 0.14, 0.07, 0.05, 0.05, 0.14]]      [[3]]        [0]
   train   o9_48       {74} [[0.04, 0.02, 0.02, 0.02, 0.17, 0.18, 0.10, 0.10, 0.18, 0.10]]      [[8]]        [9]
   train  o6_246       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [6]
   train  o0_293       {63} [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [0]
    test  o6_244       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [6]
   train  o6_121       {74} [[0.04, 0.02, 0.02, 0.02, 0.17, 0.18, 0.10, 0.10, 0.18, 0.10]]      [[8]]        [6]
   train  o6_240       {63} [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [6]
   train  o5_320       {83} [[0.07, 0.14, 0.09, 0.09, 0.19, 0.06, 0.03, 0.07, 0.18, 0.04]]      [[4]]        [5]
   train  o5_325       {69} [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [5]
    test  o5_447       {63} [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [5]
   train  o5_207       {76} [[0.06, 0.03, 0.03, 0.17, 0.06, 0.17, 0.02, 0.05, 0.22, 0.14]]      [[8]]        [5]
   train   o8_61       {66} [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [8]
   train  o7_178       {63} [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [7]
   train  o0_284       {87} [[0.18, 0.08, 0.01, 0.06, 0.03, 0.05, 0.16, 0.17, 0.11, 0.11]]      [[0]]        [0] _/
   train    o8_5       {63} [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [8] _/
    test  o6_137       {87} [[0.18, 0.08, 0.01, 0.06, 0.03, 0.05, 0.16, 0.17, 0.11, 0.11]]      [[0]]        [6]
   train  o6_498       {66} [[0.10, 0.09, 0.12, 0.06, 0.16, 0.09, 0.21, 0.12, 0.00, 0.03]]      [[6]]        [6] _/
   train   o7_90       {63} [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [7]
   train  o6_493       {60} [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [6]
    test  o5_452       {66} [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [5]
   train  o6_491       {66} [[0.10, 0.09, 0.12, 0.06, 0.16, 0.09, 0.21, 0.12, 0.00, 0.03]]      [[6]]        [6] _/
   train  o5_336       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [5]
   train  o5_217       {65} [[0.07, 0.06, 0.07, 0.13, 0.16, 0.09, 0.13, 0.04, 0.16, 0.03]]      [[8]]        [5]
   train  o7_182       {60} [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [7]
   train  o6_389       {85} [[0.00, 0.08, 0.04, 0.08, 0.04, 0.18, 0.24, 0.11, 0.10, 0.08]]      [[6]]        [6] _/
   train  o6_145       {63} [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [6]
   train  o6_388       {66} [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [6]
   train  o6_262       {72} [[0.04, 0.02, 0.06, 0.02, 0.15, 0.11, 0.08, 0.13, 0.23, 0.11]]      [[8]]        [6]
   train  o6_260       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [6]
   train  o5_465       {72} [[0.04, 0.02, 0.06, 0.02, 0.15, 0.11, 0.08, 0.13, 0.23, 0.11]]      [[8]]        [5]
    test  o5_466       {66} [[0.10, 0.09, 0.12, 0.06, 0.16, 0.09, 0.21, 0.12, 0.00, 0.03]]      [[6]]        [5]
   train  o5_104       {70} [[0.04, 0.02, 0.14, 0.05, 0.17, 0.15, 0.10, 0.10, 0.11, 0.08]]      [[4]]        [5]
   train  o5_347       {66} [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [5]
   train  o7_195       {66} [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [7] _/
    test    o7_6       {66} [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [7] _/
   train  o0_184       {74} [[0.04, 0.02, 0.02, 0.02, 0.17, 0.18, 0.10, 0.10, 0.18, 0.10]]      [[8]]        [0]
   train  o0_181       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [0]
    test  o5_230       {71} [[0.18, 0.00, 0.09, 0.14, 0.04, 0.09, 0.08, 0.19, 0.02, 0.12]]      [[7]]        [5]
   train  o5_472       {63} [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [5]
   train  o6_150       {60} [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [6]
   train  o6_390       {72} [[0.04, 0.02, 0.06, 0.02, 0.15, 0.11, 0.08, 0.13, 0.23, 0.11]]      [[8]]        [6]
   train  o6_270       {85} [[0.03, 0.18, 0.07, 0.03, 0.03, 0.20, 0.14, 0.10, 0.05, 0.12]]      [[5]]        [6]
   train  o7_369       {77} [[0.03, 0.09, 0.12, 0.16, 0.03, 0.10, 0.15, 0.05, 0.11, 0.10]]      [[3]]        [7]
    test  o7_120       {66} [[0.10, 0.09, 0.12, 0.06, 0.16, 0.09, 0.21, 0.12, 0.00, 0.03]]      [[6]]        [7]
   train  o7_242       {80} [[0.05, 0.12, 0.07, 0.08, 0.18, 0.12, 0.10, 0.08, 0.08, 0.07]]      [[4]]        [7]
   train   o9_85       {74} [[0.04, 0.02, 0.02, 0.02, 0.17, 0.18, 0.10, 0.10, 0.18, 0.10]]      [[8]]        [9]
    test  o7_485       {63} [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [7]
    test  o7_486       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [7]
    test  o7_482       {60} [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [7]
    test  o6_439       {74} [[0.04, 0.02, 0.02, 0.02, 0.17, 0.18, 0.10, 0.10, 0.18, 0.10]]      [[8]]        [6]
   train  o4_317       {71} [[0.14, 0.07, 0.04, 0.16, 0.11, 0.14, 0.07, 0.05, 0.05, 0.14]]      [[3]]        [4]
   train  o8_298       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [8]
   train  o4_307       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [4] _/
   train  o6_203       {60} [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [6]
   train   o9_82       {82} [[0.09, 0.07, 0.08, 0.07, 0.13, 0.13, 0.13, 0.09, 0.09, 0.07]]      [[6]]        [9]
   train   o9_81       {81} [[0.07, 0.04, 0.02, 0.04, 0.17, 0.04, 0.13, 0.06, 0.25, 0.12]]      [[8]]        [9]
   train  o7_119       {70} [[0.04, 0.02, 0.14, 0.05, 0.17, 0.15, 0.10, 0.10, 0.11, 0.08]]      [[4]]        [7]
   train  o7_499       {77} [[0.03, 0.09, 0.12, 0.16, 0.03, 0.10, 0.15, 0.05, 0.11, 0.10]]      [[3]]        [7]
   train  o7_495       {80} [[0.18, 0.17, 0.03, 0.13, 0.05, 0.06, 0.02, 0.18, 0.07, 0.06]]      [[7]]        [7] _/
    test  o7_132       {66} [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [7] _/
   train  o7_496       {66} [[0.10, 0.09, 0.12, 0.06, 0.16, 0.09, 0.21, 0.12, 0.00, 0.03]]      [[6]]        [7]
   train  o7_497       {72} [[0.04, 0.02, 0.06, 0.02, 0.15, 0.11, 0.08, 0.13, 0.23, 0.11]]      [[8]]        [7]
    test  o4_302       {80} [[0.05, 0.12, 0.07, 0.08, 0.18, 0.12, 0.10, 0.08, 0.08, 0.07]]      [[4]]        [4] _/
   train  o7_372       {80} [[0.18, 0.17, 0.03, 0.13, 0.05, 0.06, 0.02, 0.18, 0.07, 0.06]]      [[7]]        [7] _/
    test  o4_306       {60} [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [4]
   train  o5_410       {69} [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [5]
   train  o7_267       {83} [[0.00, 0.10, 0.06, 0.04, 0.15, 0.10, 0.14, 0.15, 0.14, 0.07]]      [[7]]        [7] _/
   train  o5_416       {66} [[0.10, 0.09, 0.12, 0.06, 0.16, 0.09, 0.21, 0.12, 0.00, 0.03]]      [[6]]        [5]
    test  o4_412       {65} [[0.07, 0.06, 0.07, 0.13, 0.16, 0.09, 0.13, 0.04, 0.16, 0.03]]      [[8]]        [4]
   train  o6_226       {71} [[0.18, 0.00, 0.09, 0.14, 0.04, 0.09, 0.08, 0.19, 0.02, 0.12]]      [[7]]        [6]
   train   o1_17       {65} [[0.07, 0.06, 0.07, 0.13, 0.16, 0.09, 0.13, 0.04, 0.16, 0.03]]      [[8]]        [1]
   train  o6_461       {69} [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [6]
   train  o8_194       {60} [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [8]
   train  o5_303       {71} [[0.14, 0.07, 0.04, 0.16, 0.11, 0.14, 0.07, 0.05, 0.05, 0.14]]      [[3]]        [5]
    test  o7_156       {63} [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [7]
   train    o5_3       {63} [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [5]
   train  o7_152       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [7]
   train    o5_8       {82} [[0.09, 0.07, 0.08, 0.07, 0.13, 0.13, 0.13, 0.09, 0.09, 0.07]]      [[6]]        [5]
    test   o1_12       {83} [[0.00, 0.10, 0.06, 0.04, 0.15, 0.10, 0.14, 0.15, 0.14, 0.07]]      [[7]]        [1]
   train   o1_10       {87} [[0.06, 0.17, 0.12, 0.09, 0.10, 0.02, 0.06, 0.06, 0.13, 0.13]]      [[1]]        [1] _/
    test   o0_42       {63} [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [0]
   train  o6_359       {63} [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [6]
    test  o6_235       {69} [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [6]
   train  o6_357       {83} [[0.00, 0.10, 0.06, 0.04, 0.15, 0.10, 0.14, 0.15, 0.14, 0.07]]      [[7]]        [6]
   train  o6_352       {80} [[0.05, 0.12, 0.07, 0.08, 0.18, 0.12, 0.10, 0.08, 0.08, 0.07]]      [[4]]        [6]
    test  o6_350       {66} [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [6]
   train  o5_313       {70} [[0.04, 0.02, 0.14, 0.05, 0.17, 0.15, 0.10, 0.10, 0.11, 0.08]]      [[4]]        [5]
   train  o5_435       {70} [[0.04, 0.02, 0.14, 0.05, 0.17, 0.15, 0.10, 0.10, 0.11, 0.08]]      [[4]]        [5]
   train  o5_315       {70} [[0.04, 0.02, 0.14, 0.05, 0.17, 0.15, 0.10, 0.10, 0.11, 0.08]]      [[4]]        [5]
    test  o5_436       {74} [[0.04, 0.02, 0.02, 0.02, 0.17, 0.18, 0.10, 0.10, 0.18, 0.10]]      [[8]]        [5]
   train  o5_316       {75} [[0.16, 0.00, 0.09, 0.09, 0.20, 0.09, 0.05, 0.04, 0.18, 0.08]]      [[4]]        [5]

Objects classified correctly: 126
Total objects: 500
Accuracy: 25.2%

Training Objects classified correctly: 101/400
Accuracy: 25.25%

Test Objects classified correctly: 25/100
Accuracy: 25.0%
